"Nr","Type","Name","Description","Operating Voltage (V)","Input Voltage (V)","Output Current (A)","Pin Layout","Package","Amount"
"1","PLR","78L05","Positive Linear Regulator","5","7 - 30","1","OUT GND IN?","TO-92","10"
"2","PLR","L7805","Positive Linear Regulator","5","7 - 35","1","IN? GND OUT","TO-220","2"
"3","NLR","79L05","Negative Linear Regulator","-5","-7 - -30","0.1","GND IN? OUT","TO-92","5"
"4","NLR","L7905","Negative Linear Regulator","-5","-7 - -30","1","GND IN OUT?","TO-220","2"
"5","PLR","78L12","Positive Linear Regulator","12","14 - 35","0.1","OUT GND IN?","TO-92","5"
"6","PLR","L7812","Positive Linear Regulator","12","14 - 35","1","EM CO BA?","TO-220","2"
"7","PLR","L7804","Positive Linear Regulator","24","27 - 35","1","EM CO BA?","TO-220","2"
"8","AR","LM317","Adjustable Regulator","1.2 - 37","3 - 40","1.5","EM CO BA?","TO-220","3"
"9","AR","TL431A","Adjustable Regulator","2.5 - 36","2.5 (VREF)","0.1","EM BA CO?","TO-92","10"
"10","THY","MAC97A6","4Q Triac / Thyristor",,"400 (VDRM)","0.6 (IT RMS)","EM BA CO?","TO-92","5"
"11","THY","BT134-600E","4Q Triac / Thyristor",,"600 (VDRM)","4 (IT RMS)","EM BA CO?","TO-126","4"
"12","THY","BTA06","4Q Triac / Thyristor",,"600 (VDRM)","6 (IT RMS)","EM BA CO?","TO-220","2"
"13","NPN","TIP31C","General Purpose",,"100 (VCEO)","3 (IC)","BA CO EM?","TO-220","2"
"14","PNP","TIP32C","General Purpose",,"-100 (VCEO)","-3 (IC)","BA CO EM?","TO-220","2"
"15","NPN","TIP41C","General Purpose",,"100 (VCEO)","6 (IC)","BA CO EM?","TO-220","2"
"16","PNP","TIP42C","General Purpose",,"-100 (VCEO)","-6 (IC)","BA CO EM?","TO-220","2"
"17","NPN","D882","General Purpose",,"30 (VCEO)","3 (IC)","EM? CO BA","TO-126","4"
"18","PNP","B772","General Purpose",,"-30 (VCEO)","-3 (IC)","CO? BA EM","TO-126","4"
"19","NPN","BD139","General Purpose",,"80 (VCEO)","1.5 (IC)","EM CO? BA","TO-126","2"
"20","PNP","BD140","General Purpose",,"-80 (VCEO)","-1.5 (IC)","EM CO? BA","TO-126","4"
"21","N-CH","IRF540","Power MOSFET",,"100 (VDS)","30 (ID)","GA ? SRC","TO-220","3"
"22","N-CH","IRFZ44","Power MOSFET",,"60 (VDS)","35 (ID)","GA ? SRC","TO-220","3"
"23","NPN","TIP122","Darlington",,"100 (VCEO)","5 (IC)","BA CO? EM","TO-220","2"
"24","PNP","TIP127","Darlington",,"-100 (VCEO)","-5 (IC)","BA CO? EM","TO-220","2"
